Population,Plant_ID,Fruit_nr,Treatment,Missing_seeds,Seeds_counted,fruit_length,Branch ,Comments
G6,108,3,hp,0,21,,0,
G6,108,4,c,0,13,,0,
G6,108,5,hp,0,23,,1,
G6,108,6,c,0,18,,1,
G6,108,7,hp,0,14,,1,
G6,108,8,c,0,16,,1,
G6,108,1,n,0,11,,0,
G6,108,2,n,0,28,,0,
G6,108,3,n,0,39,,0,
G6,108,4,n,0,32,,0,
G6,109,1,c,0,30,,0,
G6,109,2,c,0,20,,0,
G6,109,3,hp,0,333,,0,
G6,109,4,hp,0,33,,0,
G6,109,5,hp,0,31,,0,
G6,109,6,c,0,36,,0,
G6,109,7,hp,0,33,,1,
G6,109,8,c,0,28,,1,
G6,109,1,n,0,12,,0,
G6,109,2,n,0,34,,0,
G6,109,3,n,0,17,,0,
G6,109,4,n,0,0,,0,
G6,110,1,hp,0,27,,0,
G6,110,2,c,0,40,,0,
G6,110,3,hp,0,0,,1,
G6,110,4,hp,0,0,,1,
G6,110,5,c,0,29,,1,
G6,110,6,c,0,4,,1,
G6,110,7,hp,0,1,,1,
G6,110,8,c,0,33,,1,
G6,110,9,hp,0,0,,1,
G6,110,1,n,0,29,,0,
G6,110,2,n,0,36,,0,
G6,110,3,n,0,19,,0,
G6,110,4,n,0,0,,0,
G6,111,1,hp,0,9,,0,
G6,111,2,c,0,19,,0,
G6,111,3,hp,0,27,,0,
G6,111,4,c,0,41,,0,
G6,111,5,c,0,15,,0,
G6,111,1,n,0,29,,0,
G6,111,2,n,0,3,,0,
G6,111,3,n,0,23,,0,
G6,112,1,c,0,2,,0,
G6,112,2,hp,0,17,,0,
G6,112,3,hp,0,0,,0,
G6,112,4,hp,0,26,,0,
G6,112,5,c,0,0,,0,
G6,112,6,hp,0,33,,0,
G6,112,7,c,0,0,,0,
G6,112,8,hp,0,34,,0,
G6,112,9,c,0,0,,0,
G6,112,1,n,0,31,,0,
G6,112,2,n,0,39,,0,
G6,112,3,n,0,0,,0,
G6,112,4,n,0,23,,0,
G1,113,1,hp,0,36,,0,
G1,113,2,hp,0,29,,0,
G1,113,3,c,0,22,,0,
G1,113,4,c,0,0,,0,
G1,113,1,n,0,10,,0,
G1,113,2,n,0,9,,0,
G1,115,1,c,0,8,,0,
G1,115,2,hp,0,4,,0,
G1,115,3,hp,0,2,,0,
G1,115,4,c,0,2,,0,
G1,115,5,c,0,0,,0,
G1,115,6,hp,0,0,,0,
G1,115,7,c,0,0,,1,
G1,115,8,hp,0,2,,1,
G1,115,1,n,0,15,,0,
G1,115,2,n,0,22,,0,
G1,115,3,n,0,13,,0,
G1,115,4,n,0,20,,0,
G1,116,1,c,0,4,,0,
G1,116,2,hp,0,4,,0,
G1,116,3,c,0,11,,0,
G1,116,4,hp,0,5,,0,
G1,116,5,c,0,5,,1,
G1,116,6,hp,0,8,,1,
G1,116,7,hp,0,8,,1,
G1,116,8,c,0,4,,1,
G1,116,9,hp,0,12,,1,
G1,116,10,c,0,7,,1,
G1,116,1,n,0,31,,0,
G1,116,2,n,0,33,,0,
G1,116,3,n,0,20,,0,
G1,116,4,n,0,17,,0,
G1,116,5,n,0,32,,0,
G1,117,1,hp,0,0,,0,
G1,117,2,c,0,22,,0,
G1,117,3,c,0,17,,0,
G1,117,4,hp,0,14,,1,
G1,117,5,hp,0,20,,1,
G1,117,6,c,0,0,,1,
G1,117,7,c,0,1,,1,
G1,117,1,n,0,4,,0,
G1,117,2,n,0,3,,0,
G1,117,3,n,0,8,,1,
G1,117,4,n,0,5,,1,
G1,118,1,c,0,20,,0,
G1,118,2,hp,0,29,,0,
G1,118,3,c,0,27,,0,
G1,118,4,hp,0,28,,0,
G1,118,5,hp,0,6,,0,
G1,118,6,hp,0,1,,1,
G1,118,7,c,0,0,,1,
G1,118,1,n,0,31,,0,
G1,118,2,n,0,6,,0,
G1,118,3,n,0,8,,1,
G1,119,1,c,0,11,,0,
G1,119,2,hp,0,19,,0,
G1,119,3,c,0,10,,0,
G1,119,4,c,0,9,,1,
G1,119,5,hp,0,9,,1,
G1,119,6,hp,0,0,,1,
G1,119,1,n,0,37,,0,
G1,119,2,n,0,18,,0,
G1,119,3,n,0,29,,1,
G1,120,1,c,0,36,,0,
G1,120,2,c,0,34,,0,
G1,120,3,hp,0,25,,0,
G1,120,4,hp,0,33,,0,
G1,120,5,hp,0,13,,0,
G1,120,6,hp,0,33,,0,
G1,120,7,c,0,0,,0,
G1,120,8,c,0,6,,0,
G1,120,9,hp,0,12,,1,
G1,120,1,n,0,37,,0,
G1,120,2,n,0,16,,0,
G1,120,3,n,0,4,,0,
G1,120,4,n,0,8,,0,
G1,121,1,c,0,16,,0,
G1,121,2,c,0,15,,0,
G1,121,3,c,0,3,,0,
G1,121,4,hp,0,1,,0,
G1,121,5,hp,0,11,,0,
G1,121,6,hp,0,7,,0,
G1,121,7,hp,0,14,,0,
G1,121,8,c,0,10,,0,
G1,121,1,n,0,34,,0,
G1,121,2,n,0,28,,0,
G1,121,3,n,0,38,,0,
G1,121,4,n,0,20,,0,
G1,122,1,c,0,4,,0,
G1,122,2,hp,1,  ,,0,cut fruit
G1,122,3,c,0,0,,1,
G1,122,4,hp,0,0,,1,
G1,122,5,hp,0,0,,1,
G1,122,6,c,0,0,,1,
G1,122,1,n,0,7,,0,
G1,122,2,n,0,18,,0,
G1,122,3,n,0,0,,0,
G1,123,1,c,0,18,,0,
G1,123,2,hp,0,19,,0,
G1,123,3,c,0,18,,0,
G1,123,4,c,0,0,,0,
G1,123,5,c,0,14,,0,
G1,123,6,hp,0,4,,0,
G1,123,7,hp,0,0,,0,
G1,123,1,n,0,4,,0,
G1,123,2,n,0,40,,0,
G1,123,3,n,0,27,,0,
G1,123,4,n,0,18,,0,
G1,124,1,c,0,17,,0,
G1,124,2,hp,0,14,,0,
G1,124,3,c,0,11,,0,
G1,124,4,hp,0,23,,0,
G1,124,5,hp,0,14,,1,
G1,124,6,hp,0,14,,1,
G1,124,7,c,0,19,,1,
G1,124,8,c,0,7,,1,
G1,124,1,n,0,28,,0,
G1,124,2,n,0,28,,0,
G1,124,3,n,0,2,,0,
G1,125,1,c,0,35,,0,
G1,125,2,c,0,21,,0,
G1,125,3,hp,0,4,,0,
G1,125,4,hp,0,0,,0,
G1,125,5,hp,0,0,,0,
G1,126,1,c,0,14,,0,
G1,126,2,hp,0,24,,0,
G1,126,3,hp,0,27,,0,
G1,126,4,c,0,30,,0,
G1,127,1,c,0,18,,0,
G1,127,2,hp,0,26,,0,
G1,127,3,c,0,21,,0,
G1,127,4,hp,0,31,,0,
G1,127,5,c,0,31,,0,
G1,127,6,c,0,32,,0,
G1,127,7,hp,0,21,,0,
G1,127,8,hp,0,10,,0,
G1,127,1,n,0,11,,0,
G1,127,2,n,0,12,,0,
G1,127,3,n,0,9,,0,
G1,127,4,n,0,10,,0,
G1,131,1,hp,0,2,,0,
G1,131,2,c,0,2,,0,
G1,131,3,c,0,3,,0,
G1,131,4,c,0,11,,0,
G1,131,5,c,0,3,,0,
G1,131,6,hp,0,0,,0,
G1,131,7,hp,0,4,,1,
G1,131,1,n,0,2,,0,
G1,131,2,n,0,3,,0,
G1,131,3,n,0,0,,0,
G1,131,4,n,0,1,,0,
G1,132,1,c,0,0,,0,
G1,132,2,hp,0,0,,0,
G1,132,3,hp,0,1,,1,
G1,132,4,c,0,0,,0,
G1,132,1,n,0,25,,0,
G1,132,2,n,0,37,,0,
G1,133,1,c,0,3,,0,
G1,133,2,hp,0,13,,0,
G1,133,3,c,0,0,,0,
G1,133,4,hp,0,9,,0,
G1,133,5,c,0,0,,0,
G1,133,6,hp,0,0,,0,
G1,133,7,c,0,0,,0,
G1,133,8,hp,0,0,,0,
G1,133,9,hp,0,11,,0,
G1,133,10,c,0,0,,0,
G1,134,1,hp,0,10,,0,
G1,134,2,c,0,14,,0,
G1,134,3,hp,0,10,,0,
G1,134,4,c,0,1,,0,
G1,134,5,hp,0,9,,0,
G1,134,6,c,0,0,,0,
G1,134,7,hp,0,0,,0,
G1,134,8,c,0,0,,0,
G1,134,1,n,0,0,,0,
G1,134,2,n,0,0,,0,
G1,134,3,n,0,5,,0,
G1,134,4,n,0,0,,0,
G1,135,1,c,0,22,,0,
G1,135,2,hp,0,25,,0,
G1,135,3,c,0,0,,0,
G1,135,4,hp,0,15,,0,
G1,135,5,c,0,13,,1,
G1,135,6,hp,0,1,,1,
G1,135,7,hp,0,27,,1,
G1,135,8,c,0,26,,1,
G1,135,9,hp,0,21,,1,
G1,135,10,c,0,4,,1,
G1,135,1,n,0,1,,0,
G1,135,2,n,0,7,,0,
G1,135,3,n,0,7,,0,
G1,135,4,n,0,3,,0,
G1,135,5,n,0,2,,0,
G1,136,1,hp,0,20,,0,
G1,136,2,c,0,1,,0,
G1,136,3,hp,0,12,,0,
G1,136,4,c,0,34,,0,
G1,136,5,hp,0,9,,0,
G1,136,6,hp,0,8,,0,
G1,136,7,c,0,28,,0,
G1,136,8,c,0,2,,1,
G1,136,9,hp,0,25,,1,
G1,136,1,n,0,16,,0,
G1,136,2,n,0,19,,0,
G1,136,3,n,0,3,,0,
G1,136,4,n,0,7,,0,
G1,137,1,hp,0,1,,1,
G1,137,2,c,0,8,,1,
G1,137,3,hp,0,7,,1,
G1,137,4,c,0,17,,1,
G1,137,1,n,0,23,,0,
G1,137,2,n,0,7,,0,
G1,138,1,hp,0,0,,0,tiny seeds
G1,138,2,hp,0,0,,0,tiny seeds
G1,138,3,hp,0,0,,0,tiny seeds
G1,138,4,c,0,0,,1,tiny seeds
G1,138,1,n,0,14,,0,
G1,139,1,c,0,0,,0,
G1,139,2,hp,0,0,,0,
G1,139,3,hp,0,38,,0,
G1,139,4,c,0,14,,0,
G1,139,5,c,0,32,,0,
G1,139,6,c,0,13,,1,
G1,139,7,hp,0,33,,1,
G1,139,8,hp,0,36,,1,
G1,139,9,c,0,15,,1,
G1,139,1,n,0,25,,0,
G1,139,2,n,0,21,,0,
G1,139,3,n,0,0,,0,
G1,139,4,n,0,35,,0,
G1,139,5,n,0,31,,0,
G1,140,1,hp,0,31,,0,
G1,140,2,c,0,33,,0,
G1,140,3,hp,0,34,,0,
G1,140,4,c,0,0,,0,
G1,140,5,c,0,31,,0,
G1,140,1,n,0,22,,0,
G1,140,2,n,0,31,,0,
G1,140,3,n,0,0,,0,
G1,141,1,c,0,33,,0,
G1,141,2,hp,0,46,,0,
G1,141,3,hp,0,27,,0,
G1,141,4,c,0,27,,0,
G1,141,5,hp,0,38,,0,
G1,141,6,c,0,0,,0,
G1,141,7,hp,0,19,,1,
G1,141,8,c,0,29,,0,
G1,141,9,hp,0,20,,0,
G1,141,10,c,0,23,,0,
G1,141,1,n,0,14,,0,
G1,141,2,n,0,18,,0,
G1,141,3,n,0,18,,0,
G1,141,4,n,0,18,,0,
G1,141,5,n,0,14,,0,
G1,142,1,c,0,29,,0,
G1,142,2,c,0,17,,0,
G1,142,3,hp,0,28,,0,
G1,142,4,hp,0,18,,0,
G1,142,5,hp,0,15,,0,
G1,142,6,c,0,0,,0,
G1,142,7,hp,0,0,,0,
G1,142,8,c,0,0,,0,
G1,142,9,c,0,0,,0,
G1,142,10,hp,0,4,,1,
G1,142,1,n,0,21,,0,
G1,142,2,n,0,28,,0,
G1,142,3,n,0,29,,0,
G1,142,4,n,0,25,,0,
G1,142,5,n,0,3,,0,
I10,1,1,hp,0,4,16,0,
I10,1,2,c,0,1,7,0,
I10,1,3,hp,1,,29,0,
I10,1,4,hp,1,,33,0,
I10,1,5,e,0,1,,0,
I10,1,6,c,1,,32,0,
I10,1,1,n,0,9,23,0,
I10,1,2,n,1,,23,0,
I10,10,1,c,0,3,17,0,
I10,10,2,c,1,6,19,0,
I10,10,3,hp,0,20,30,0,
I10,10,4,c,0,0,4,0,
I10,10,5,hp,0,3,8,0,
I10,10,6,hp,0,0,0,0,
I10,10,7,hp,1,13,33,0,
I10,10,8,c,0,0,2,0,
I10,10,1,n,0,1,12,0,
I10,10,2,n,1,12,23,0,
I10,10,3,n,1,17,32,0,
I10,10,4,n,0,2,13,0,
I10,20,1,hp,1,,22,0,
I10,20,2,hp,1,,29,0,
I10,20,3,c,1,4,32,0,
I10,20,4,e,0,22,35,0,
I10,20,5,c,0,21,33,0,
I10,20,6,c,1,,35,0,
I10,20,7,hp,1,,36,0,
I10,20,8,c,1,,34,0,
I10,20,9,e,1,8,44,0,
I10,20,10,e,1,3,25,0,
I10,20,11,e,0,8,36,1,
I10,20,12,e,1,3,22,1,
I10,20,1,n,1,13,35,0,
I10,20,2,n,1,,38,0,
I10,20,3,n,1,13,31,0,
I10,20,4,n,0,25,41,0,
I10,40,1,c,0,0,5,0,
I10,40,2,c,0,0,7,0,
I10,40,3,hp,0,0,9,0,
I10,40,4,hp,1,,29,0,
I10,40,5,e,1,11,24,0,
I10,40,6,e,1,3,23,0,
I10,40,7,c,1,,26,0,
I10,40,8,e,0,0,10,0,
I10,40,9,e,0,0,9,0,
I10,40,10,e,0,0,9,0,
I10,40,1,n,1,,27,0,
I10,40,2,n,0,14,32,0,
I10,40,3,n,0,13,39,0,
I10,50,1,,,,,,missing envelope
I10,50,2,hp,1,,42,0,
I10,50,3,hp,1,,36,0,
I10,50,4,c,0,7,18,0,
I10,50,5,hp,0,20,37,0,
I10,50,6,c,1,,35,0,
I10,50,7,c,0,15,26,0,
I10,50,8,c,0,0,6,0,
I10,50,9,hp,0,16,35,0,
I10,50,1,n,1,,35,0,
I10,50,2,n,1,,38,0,
I10,50,3,n,1,,27,0,
I10,50,4,n,1,,24,0,
I10,60,1,c,0,0,6,0,
I10,60,2,hp,0,0,0,0,
I10,60,3,,,,,,missing envelope
I10,60,4,hp,0,0,4,0,
I10,60,5,hp,0,3,10,0,
I10,60,6,c,0,0,0,0,
I10,60,7,e,0,4,12,0,
I10,60,1,n,0,0,,0,
I10,60,2,n,0,0,9,0,
I10,60,3,n,0,0,7,0,
I10,70,1,c,0,9,17,0,
I10,70,2,hp,1,6,25,0,
I10,70,3,hp,1,1,25,0,
I10,70,4,hp,1,,25,0,
I10,70,5,c,1,,22,0,
I10,70,6,e,1,,29,0,
I10,70,7,hp,1,7,31,0,
I10,70,8,c,0,4,19,0,
I10,70,9,e,1,,25,0,
I10,70,10,e,1,,20,0,
I10,70,11,hp,0,16,29,1,
I10,70,12,c,0,2,,1,
I10,70,1,n,1,6,25,0,
I10,70,2,n,1,1,28,0,
I10,70,3,n,1,3,29,0,
I10,70,4,n,1,4,26,0,
I10,80,1,c,0,0,25,0,
I10,80,2,c,1,,31,0,
I10,80,3,hp,1,1,25,0,
I10,80,4,hp,1,,16,0,
I10,80,5,c,1,1,11,0,
I10,80,6,e,1,8,27,0,
I10,80,7,hp,1,,29,0,
I10,80,8,c,1,,29,0,
I10,80,9,e,1,1,32,0,
I10,80,10,e,1,1,31,0,
I10,80,11,e,1,9,31,0,
I10,80,12,e,1,8,35,0,
I10,80,13,c,0,0,5,0,
I10,80,1,n,1,,40,0,
I10,80,2,n,1,,32,0,
I10,80,3,n,0,8,21,0,
I10,80,4,n,1,,37,0,
I10,80,5,n,0,18,31,0,
I10,120,1,e,1,5,28,0,
I10,120,2,e,1,5,40,0,
I10,120,3,c,1,6,43,0,
I10,120,4,hp,1,,36,0,
I10,120,5,e,1,,28,0,
I10,120,6,c,1,8,43,0,
I10,120,7,e,1,,42,0,
I10,120,8,e,1,10,35,0,
I10,120,1,n,0,5,36,0,
I10,120,2,n,0,6,45,0,
I10,140,1,c,0,0,0,0,
I10,140,2,hp,0,0,0,0,
I10,140,3,c,0,0,0,0,
I10,140,4,hp,0,0,0,0,
I10,140,5,c,0,0,0,0,
I10,140,6,hp,0,0,0,0,
I10,140,7,e,1,,38,0,
I10,140,1,n,0,0,4,0,
I10,140,2,n,0,0,0,0,
I10,140,3,n,0,1,15,0,
I10,200,1,hp,0,3,11,0,
I10,200,2,hp,0,2,15,0,
I10,200,3,e,0,2,12,0,
I10,240,1,hp,0,0,5,0,
I10,240,2,hp,0,0,5,0,
I10,240,3,hp,0,0,6,0,
I10,240,4,c,1,,10,0,
I10,240,5,c,0,0,10,0,
I10,240,6,hp,0,0,0,0,
I10,240,7,c,0,0,1,0,
I10,240,8,c,0,0,0,0,
I10,240,9,hp,0,0,0,0,
I10,240,10,c,1,,41,0,
I10,240,11,e,1,,38,0,
I10,240,12,e,1,17,38,0,
I10,240,13,e,1,3,42,0,
I10,240,14,e,0,28,40,0,
I10,240,15,e,1,4,46,0,
I10,240,1,n,0,9,18,0,
I10,240,2,n,0,1,11,0,
I10,240,3,n,0,0,16,0,
I10,240,4,n,1,,36,0,
I10,240,5,n,1,,39,0,
I10,270,1,c,0,4,14,0,
I10,270,2,hp,1,,36,0,
I10,270,3,hp,1,17,37,0,
I10,270,4,hp,1,10,35,0,
I10,270,5,hp,1,8,38,0,
I10,270,6,c,1,2,31,0,
I10,270,7,c,0,0,9,0,
I10,270,8,c,1,5,30,0,
I10,270,9,hp,1,2,19,0,
I10,270,10,c,1,2,32,0,
I10,270,11,e,0,18,27,0,
I10,270,12,e,0,35,36,0,
I10,270,13,e,1,21,41,0,
I10,270,14,e,1,26,37,0,
I10,270,15,e,1,18,34,0,
I10,270,1,n,1,21,39,0,
I10,270,2,n,0,3,18,0,
I10,270,3,n,1,3,35,0,
I10,270,4,n,1,12,39,0,
I10,270,5,n,0,26,29,0,
I10,330,1,hp,0,1,,0,
I10,330,2,hp,0,0,0,0,
I10,330,3,c,0,0,2,0,
I10,330,4,c,0,0,4,0,
I10,330,5,c,0,0,,0,
I10,330,6,hp,0,0,0,0,
I10,330,7,hp,1,,,0,cut fruit
I10,330,8,c,1,6,35,0,
I10,330,9,e,1,,37,0,
I10,330,10,e,1,,24,0,
I10,330,1,n,0,0,0,0,
I10,330,2,n,0,0,0,0,
I10,330,3,n,0,15,35,0,
I10,330,4,n,0,8,22,0,
I10,340,1,hp,0,0,10,0,
I10,340,2,hp,1,11,18,0,
I10,340,3,hp,1,,22,0,
I10,340,4,hp,1,10,23,0,
I10,340,5,c,1,11,26,0,
I10,340,6,c,0,0,6,0,
I10,340,7,c,0,10,8,0,
I10,340,1,n,1,,19,0,
I10,340,2,n,0,13,24,0,
I10,340,3,n,0,14,26,0,
I10,360,1,c,0,0,5,0,
I10,360,2,hp,0,0,7,0,
I10,360,3,hp,0,0,7,0,
I10,360,4,hp,0,0,7,0,
I10,360,5,c,1,4,23,0,
I10,360,6,e,1,3,21,0,
I10,360,7,e,1,5,19,0,
I10,360,8,c,0,0,0,0,
I10,360,1,n,0,3,13,0,
I10,360,2,n,0,4,14,0,
I10,360,3,n,0,11,22,0,
I10,372,1,hp,1,,35,0,
I10,372,2,e,0,23,40,0,
I10,372,3,hp,0,0,0,0,
I10,372,4,hp,1,4,36,0,
I10,372,5,hp,0,2,11,0,
I10,372,6,c,0,0,8,0,
I10,372,7,c,0,0,0,0,
I10,372,8,hp,1,3,29,0,
I10,372,9,c,0,1,20,0,
I10,372,10,c,0,0,8,0,
I10,372,1,n,0,9,21,0,
I10,372,2,n,0,18,32,0,
I10,372,3,n,0,18,34,0,
I10,373,1,hp,1,,21,0,
I10,373,2,hp,1,2,21,0,
I10,373,3,hp,0,7,24,0,
I10,373,4,hp,0,0,0,0,
I10,373,5,c,0,0,0,0,
I10,373,6,c,0,0,0,0,
I10,373,7,c,0,0,0,0,
I10,373,1,n,0,5,12,0,
I10,373,2,n,0,1,4,0,
I10,373,3,n,1,,10,0,
I10,374,1,c,0,14,19,0,
I10,374,2,c,0,14,23,0,
I10,374,3,hp,1,20,31,0,
I10,374,4,hp,1,7,29,0,
I10,374,5,hp,0,25,30,0,
I10,374,6,hp,1,13,25,0,
I10,374,7,c,1,3,33,0,
I10,374,8,e,0,4,14,0,
I10,374,1,n,0,21,29,0,
I10,374,2,n,0,28,30,0,
I10,374,3,n,0,21,24,0,
I10,376,1,n,1,9,15,0,
I10,376,2,n,1,,23,0,
I10,376,3,n,0,,32,0,
I10,376,4,n,1,16,43,0,
I10,377,1,c,0,20,35,0,
I10,377,2,hp,0,0,4,0,
I10,377,3,hp,1,5,37,0,
I10,377,4,hp,0,20,36,0,
I10,377,5,c,0,0,0,0,
I10,377,6,c,0,10,27,0,
I10,377,7,hp,0,23,41,0,
I10,377,8,c,1,21,40,0,
I10,377,9,e,1,1,31,0,
I10,377,1,n,0,23,39,0,
I10,377,2,n,0,29,44,0,
I10,377,3,n,0,17,34,0,
I10,377,4,n,0,14,33,0,
I10,379,1,e,1,3,21,0,
I10,379,2,c,1,,,,cut fruit
I10,379,3,e,0,6,19,0,
I10,379,4,c,0,0,5,0,
I10,379,5,c,1,13,44,0,
I10,379,6,hp,0,21,45,0,
I10,379,7,hp,1,4,37,0,
I10,379,8,hp,1,1,34,0,
I10,379,9,hp,1,2,19,0,
I10,379,10,c,0,0,5,0,
I10,379,11,hp,0,0,7,0,
I10,379,12,e,0,15,44,0,
I4,1,1,c,0,9,20,0,
I4,1,2,,,,,0,missing envelope
I4,1,3,c,0,0,5,0,
I4,1,4,hp,1,23,45,0,
I4,1,5,,1,8,35,0,both trheads
I4,1,1,n,0,26,40,0,
I4,1,2,n,1,17,52,0,
I4,1,3,n,1,16,40,0,
I4,2,1,hp,1,22,49,0,
I4,2,2,c,1,22,50,0,
I4,2,3,hp,1,5,50,0,
I4,2,4,c,1,21,48,0,
I4,2,5,hp,0,0,3,1,
I4,2,6,c,0,0,1,1,
I4,2,1,n,1,15,39,0,
I4,2,2,n,0,3,9,0,
I4,2,3,n,1,3,18,0,
I4,3,1,c,0,0,0,0,
I4,3,2,hp,0,0,0,0,
I4,3,3,c,0,0,0,0,
I4,3,4,hp,0,0,0,0,
I4,3,1,n,1,9,46,0,
I4,3,2,n,0,9,29,0,
I4,4,1,c,0,0,0,0,
I4,4,2,hp,1,10,34,0,
I4,4,3,c,0,0,11,0,
I4,4,1,n,0,0,6,0,
I4,4,2,n,0,0,0,0,
I4,5,1,c,1,15,41,0,
I4,5,2,hp,1,,31,0,
I4,5,3,hp,0,6,20,0,
I4,5,4,hp,1,20,50,0,
I4,5,5,hp,1,,49,0,
I4,5,6,c,1,5,26,0,
I4,5,7,c,1,21,43,0,
I4,5,8,hp,1,19,41,0,
I4,5,9,c,1,30,49,0,
I4,5,10,hp,1,12,29,1,
I4,5,11,c,1,2,14,1,
I4,5,1,n,1,24,56,0,
I4,5,2,n,1,23,58,0,
